Customer,Item,Quantity
CHINA UNICOM,T-Berd/MTS-5800,13
CHUNGHWA TELECOM,ONX-580,2
CHUNGHWA TELECOM,T-Berd/MTS-5800,10
CIENA,Digital Inspection & Test,8
CIENA,"MAP-200 Chassis, Accessories & Software",4
CIENA,ONT-Jitter,3
CIENA,Repair,7
CIMARRON TELEPHONE,Repair,3
CINCINNATI BELL,ACE,8
CINCINNATI BELL,DSAM,8
CINCINNATI BELL,HST-3000 SIMs,18
CINCINNATI BELL,HST-3000C,36
CINCINNATI BELL,HST-3000C-CE,64
CINCINNATI BELL,Repair,4
CINCINNATI BELL,Ultra FED,47
CISCO,DSAM,2
CISCO,HCU1500,2
CISCO,Repair,2
CISCO,StrataSync,2
CISCO,XGIG - FC 16G,14
CISCO,XGIG 5k - SAS/SATA 12G,6
CITI CONNECT,ACE,1
CITIZENS TELEPHONE,DSAM,6
CITIZENS TELEPHONE,HCU1500,6
CITIZENS TELEPHONE,PathTrak,6
CITY OF TACOMA,PathTrak,7
CITY UTILITIES OF SPRINGFIELD MO,TB/MTS-6000 Platform,1
CL MORGAN,Accessories,8
CL MORGAN,Digital Inspection & Test,2
CLAIR GLOBAL SERVICE,Probe Tips,1
CLARO,DSAM,7
CLARO,HCU1500,8
CLARO,Location Intelligence Services,3
CLARO,PathTrak,16
CLARO,Test Devices,12
CLIMAX TELEPHONE,TB-6000A Transport Module,3
CLOVER CABLE,DSAM,4
CLOVER CABLE,HCU1500,2
CLOVER CABLE,StrataSync,2
CODALE ELECTRIC SUPPLY,HST-3000 SIMs,3
CODALE ELECTRIC SUPPLY,HST-3000C,12
CODALE ELECTRIC SUPPLY,Ultra FED,3
COGECO CABLE CANADA,PathTrak,6
COLORADO BROADBAND,DSAM,4
COLORCHIP (ISRAEL) LTD.,Probe Tips,1
COLUMBUS NETWORKS,TB-6000A Transport Module,4
COMCAST,Accessories,36
COMCAST,Analog Inspection & Test,1
COMCAST,Benchtop Inspection,3
COMCAST,Calibrations,3
COMCAST,Digital Inspection & Test,6
COMCAST,DSAM,345
COMCAST,DSAM Upgrades,3
COMCAST,HCU1500,251
COMCAST,HST-3000 SIMs,1
COMCAST,HST-3000C,10
COMCAST,ONX-580,11
COMCAST,PacketPortal SW & Solutions,2
COMCAST,PathTrak,234
COMCAST,Probe Tips,45
COMCAST,Repair,233
COMCAST,Replacement Parts,7
COMCAST,RPM2000,7
COMCAST,RPM-3000,8
COMCAST,RSAM,8
COMCAST,SDA,4
COMCAST,SDA-5000,4
COMCAST,StrataSync,53
COMCAST,Support Plans,7
COMCAST,T-BERD 8000,5
COMCAST,T-Berd/MTS-5800,70
COMCAST,Test Devices,13
COMCAST,Test Productivity Pack,6
COMCAST,VSE-1100,11
COMCAST,WR Amplification,19
COMIT,TB/MTS-2000 Platform,6
COMMERCIAL ELECTRONICS,DSAM,1
COMMERCIAL ELECTRONICS,Repair,3
COMMERCIAL ELECTRONICS,SDA-5000,4
COMMNET WIRELESS,CT-650SM,3
COMMNET WIRELESS,RANAdvisor Product,4
COMMNET WIRELESS,Repair,9
COMMSCOPE,Accessories,20
COMMSCOPE,SmartPocket Handhelds,5
COMMSCOPE,Test Devices,5
COMMUNICATION SERVICES,OTDR - FiberComplete modules,4
COMMUNICATIONS CONSTRUCTION,Accessories,6
COMMUNICATIONS CONSTRUCTION,Probe Tips,2
COMMUNICATIONS CONSTRUCTION,Repair,10
COMMUNICATIONS CONSTRUCTION,TB/MTS 8000 Platform,1
COMMUNICATIONS CONSTRUCTION,Test Devices,2
COMPORIUM,DSAM,3
COMPORIUM,HCU1500,3
COMPORIUM,PathTrak,6
COMSONICS,DSAM,6
COMSOUTH,SDA-5000,4
COMSTAR COMMUNICATIONS,Accessories,9
COMSTAR COMMUNICATIONS,Analog Inspection & Test,10
COMSTAR COMMUNICATIONS,Benchtop Inspection,1
COMSTAR COMMUNICATIONS,CleanBlast,14
COMSTAR COMMUNICATIONS,Digital Inspection & Test,7
COMSTAR COMMUNICATIONS,Probe Tips,3
COMTEC (MEX),DSAM,12
COMTEC (MEX),MTS-5100e,3
COMTEC (MEX),SDA-5000,3
CONCILIUM TECHNOLOGIES,Test Devices,4
CONNECT TECH WEST,NI - Maintenance,1
CONNECT TECH WEST,nTAPs,3
CONSOLIDATED COMMUNICATIONS,Common Product,2
CONSOLIDATED COMMUNICATIONS,TB-6000A Transport Module,4
CONSOLIDATED COMMUNICATIONS,T-Berd/MTS-5800,10
CONSOLIDATED COMMUNICATIONS,Test Devices,5
CONSOLIDATED TELECOM,SMARTClass Fiber,4
CONTERRA BROADBAND SERVICES,Digital Inspection & Test,2
CONTERRA BROADBAND SERVICES,TB-6000A Transport Module,4
CONTERRA BROADBAND SERVICES,T-Berd/MTS-5800,8
COOK COMPANY,DSAM,3
COOK COMPANY,HCU1500,3
COOK COMPANY,SDA-5000,4
CORE COMMUNICATIONS,HST-3000C,2
CORNING,Accessories,3
CORNING,Probe Tips,14
CORNING,RANAdvisor Product,25
CORNING,RANAdvisor Services & Support,5
CORNING,Test Devices,3
COTENER,DSAM,9
COTENER,HCU1500,5
COTENER,StrataSync,8
COTENER,Support Plans,3
COUNTY OF SAN BERNARDINO,FST-2000,3
COUNTY OF SAN BERNARDINO,FST-2310-OC3,4
COUNTY OF SAN BERNARDINO,TB-6000A Transport Module,6
COUNTY OF SAN BERNARDINO,T-BERD 8000,2
COUNTY OF SAN BERNARDINO,T-Berd/MTS-5800,12
COX ENTERPRISES,Accessories,12
COX ENTERPRISES,DSAM,38
COX ENTERPRISES,HCU1500,32
COX ENTERPRISES,HST-3000 SIMs,1
COX ENTERPRISES,PathTrak,45
COX ENTERPRISES,Probe Tips,10
COX ENTERPRISES,Repair,58
COX ENTERPRISES,RPM-3000,2
COX ENTERPRISES,SMARTClass Fiber,3
COX ENTERPRISES,Test Devices,6
CROWN CASTLE,RANAdvisor Product,4
CROWN CASTLE,Repair,5
CSC,Accessories,1
CSC,Analog Inspection & Test,4
CSC,Calibration Plan,1
CSC,Digital Inspection & Test,4
CSC,FST-2000,2
CSC,TB-6000A Transport Module,6
CSC,T-BERD 8000,2
CSC,T-Berd/MTS-5800,10
CSC,Test Devices,4
CSC HOLDINGS,NetAnalyst Test Management Software,3
CSC HOLDINGS,ONX-580,8
CSC HOLDINGS,VSE-1100,9
CSIRO,Benchtop Inspection,9
CSIRO,Digital Inspection & Test,2
CTDI,Digital Inspection & Test,2
CTDI,MTS-5100e,5
CTDI,Probe Tips,4
CTDI,Repair,5
CTDI,Test Devices,6
DASNET,Calibrations,2
DATA ACCESS,Repair,4
DECISIVE COMMUNICATIONS,DSAM,3
DECISIVE COMMUNICATIONS,HCU1500,3
DEFENSE INFORMATION SYSTEMS AGENCY(DISA),TrueSpeed,16
DEFENSE LOGISTICS AGENCY,Accessories,1
DEFENSE LOGISTICS AGENCY,OTDR - FiberComplete modules,2
DEFENSE LOGISTICS AGENCY,Support Plans,4
DEFENSE LOGISTICS AGENCY,TB/MTS 8000 Platform,1
DEFENSE LOGISTICS AGENCY,TB-6000A Transport Module,3
